Board, Sensor #, Address
0,0, Not Responding
0,1, 28E6531000000066
0,2, 2830800F000000A2

1,0, 28975B0E000000DA  --> Currently 7
1,1, 28BC2B10000000D4  --> Currently 1
1,2, 288B8F0F00000032  --> Currently 5

2,0, 28E9E80E00000050  --> Currently 3
2,1, 282B180E00000007  --> Currently 6
2,2, 282E1A1000000042  --> Currently 2

3,0, 281ED90F00000061
3,1, 28F0870F0000006C
3,2, 28F63E0B0000006C

4,0, 285FCC0F0000008D  --> Currently 8
4,1, 28CD5A0F00000079  --> Currently 4
4,2, 28044D0F0000005D  --> Currently 0
